Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Lasso Least Angle Regression,2.0337,6.1936,2.4818,0.1372,0.6887,0.7495,0.527,"(8, 9, 10)"
K Neighbors Regressor,2.2186,7.7329,2.7777,-0.0828,0.7468,0.7846,0.514,"(8, 9, 10)"
Dummy Regressor,2.275,7.2247,2.6849,-0.0094,0.7438,0.8711,0.515,"(8, 9, 10)"
Passive Aggressive Regressor,2.7988,13.4497,3.6236,-0.8726,0.9231,0.7938,0.513,"(8, 9, 10)"
Least Angle Regression,7561511.282,580975658442426.2,9224783.237,-92824949380976.52,8.8879,3682577.4105,0.519,"(8, 9, 10)"
Extra Trees Regressor,1.4079,3.6548,1.9017,0.4778,0.5316,0.5061,0.585,"(8, 9, 12)"
Light Gradient Boosting Machine,1.4883,4.1629,2.0307,0.404,0.564,0.5392,0.549,"(8, 9, 12)"
Random Forest Regressor,1.5106,4.1232,2.0218,0.4115,0.565,0.5413,0.753,"(8, 9, 12)"
Gradient Boosting Regressor,1.5707,4.5328,2.1214,0.3517,0.584,0.561,0.633,"(8, 9, 12)"
Linear Regression,1.7744,5.2581,2.288,0.24,0.6243,0.6896,0.522,"(8, 9, 12)"
Ridge Regression,1.8494,5.3714,2.3154,0.2261,0.6366,0.7067,0.514,"(8, 9, 12)"
Decision Tree Regressor,1.8857,7.8264,2.7844,-0.1335,0.7203,0.7554,0.521,"(8, 9, 12)"
Bayesian Ridge,1.9018,5.6088,2.3646,0.1958,0.6539,0.7195,0.512,"(8, 9, 12)"
Huber Regressor,1.9056,6.0345,2.4521,0.136,0.6579,0.6658,0.519,"(8, 9, 12)"
Orthogonal Matching Pursuit,1.9531,5.9043,2.4258,0.1529,0.6736,0.7507,0.511,"(8, 9, 12)"
Elastic Net,1.9829,6.0652,2.458,0.1312,0.6781,0.7538,0.511,"(8, 9, 12)"
Lasso Regression,2.0023,6.136,2.4721,0.1217,0.685,0.7591,0.523,"(8, 9, 12)"
Lasso Least Angle Regression,2.0023,6.136,2.4721,0.1217,0.685,0.7591,0.517,"(8, 9, 12)"
AdaBoost Regressor,2.0051,5.686,2.3798,0.1826,0.7029,0.8239,0.553,"(8, 9, 12)"
Dummy Regressor,2.187,7.0859,2.6565,-0.0122,0.7383,0.8536,0.516,"(8, 9, 12)"
K Neighbors Regressor,2.2282,7.7427,2.7809,-0.1171,0.7486,0.885,0.523,"(8, 9, 12)"
Passive Aggressive Regressor,3.5183,18.7604,4.2453,-1.8216,1.0192,1.8584,0.509,"(8, 9, 12)"
Least Angle Regression,154047.9975,365729550958.6966,207296.0157,-53510822562.5726,5.5855,72891.2845,0.523,"(8, 9, 12)"
Extra Trees Regressor,1.2865,2.9435,1.7005,0.5134,0.5061,0.4695,0.602,"(8, 9, 13)"
Light Gradient Boosting Machine,1.3466,3.0856,1.7461,0.4854,0.5204,0.5155,0.558,"(8, 9, 13)"
Random Forest Regressor,1.3823,3.3502,1.8153,0.4438,0.5271,0.4994,0.772,"(8, 9, 13)"
Gradient Boosting Regressor,1.4186,3.4719,1.8536,0.4124,0.5426,0.5357,0.633,"(8, 9, 13)"
Linear Regression,1.6951,4.6763,2.1556,0.2048,0.6189,0.6705,0.518,"(8, 9, 13)"
Decision Tree Regressor,1.7481,6.4985,2.5387,-0.1049,0.7228,0.6601,0.517,"(8, 9, 13)"
Ridge Regression,1.7587,4.8957,2.2006,0.1656,0.6269,0.6692,0.518,"(8, 9, 13)"
Bayesian Ridge,1.7727,4.963,2.2163,0.155,0.6298,0.6715,0.521,"(8, 9, 13)"
AdaBoost Regressor,1.8251,4.7407,2.1731,0.1861,0.6614,0.7632,0.569,"(8, 9, 13)"
Huber Regressor,1.8496,5.5903,2.3511,0.0544,0.6491,0.6533,0.527,"(8, 9, 13)"
Orthogonal Matching Pursuit,1.8944,5.533,2.3414,0.0636,0.6637,0.7225,0.522,"(8, 9, 13)"
Elastic Net,1.9084,5.5653,2.3494,0.0576,0.6667,0.7307,0.514,"(8, 9, 13)"
Lasso Regression,1.9284,5.6272,2.3631,0.0462,0.6729,0.7395,0.517,"(8, 9, 13)"
Lasso Least Angle Regression,1.9284,5.6272,2.3631,0.0462,0.6729,0.7395,0.513,"(8, 9, 13)"
K Neighbors Regressor,2.0967,6.9118,2.6164,-0.1613,0.724,0.8091,0.524,"(8, 9, 13)"
Dummy Regressor,2.1201,6.4054,2.5226,-0.0815,0.7194,0.8564,0.522,"(8, 9, 13)"
Passive Aggressive Regressor,2.6111,11.1999,3.2123,-0.8122,0.8519,1.0996,0.516,"(8, 9, 13)"
Least Angle Regression,2363.5519,90696802.8745,3202.5197,-15599451.4453,3.4542,1056.2839,0.518,"(8, 9, 13)"
Extra Trees Regressor,1.2633,3.0611,1.7431,0.5127,0.5035,0.4414,0.599,"(8, 9, 15)"
Light Gradient Boosting Machine,1.2827,3.1541,1.7678,0.5003,0.5082,0.4599,0.554,"(8, 9, 15)"
Random Forest Regressor,1.3254,3.3302,1.8174,0.4736,0.519,0.4515,0.771,"(8, 9, 15)"
Gradient Boosting Regressor,1.3657,3.5584,1.8783,0.435,0.5337,0.4761,0.623,"(8, 9, 15)"
Linear Regression,1.684,4.7064,2.1598,0.2582,0.6037,0.6517,0.518,"(8, 9, 15)"
Decision Tree Regressor,1.6952,6.6242,2.5628,-0.0738,0.7156,0.6253,0.526,"(8, 9, 15)"
Ridge Regression,1.7111,4.8181,2.1838,0.2471,0.614,0.6408,0.52,"(8, 9, 15)"
Bayesian Ridge,1.7364,4.929,2.2072,0.231,0.6201,0.645,0.519,"(8, 9, 15)"
Huber Regressor,1.7858,5.4526,2.3167,0.1535,0.6275,0.6048,0.52,"(8, 9, 15)"
AdaBoost Regressor,1.793,4.6847,2.1581,0.258,0.6541,0.7387,0.568,"(8, 9, 15)"
Orthogonal Matching Pursuit,1.8375,5.3397,2.2973,0.1678,0.6427,0.6969,0.52,"(8, 9, 15)"
Elastic Net,1.8601,5.4231,2.3165,0.1542,0.6493,0.7024,0.516,"(8, 9, 15)"
Lasso Regression,1.8827,5.4866,2.3312,0.1436,0.6558,0.7106,0.512,"(8, 9, 15)"
Lasso Least Angle Regression,1.8827,5.4866,2.3312,0.1436,0.6558,0.7106,0.505,"(8, 9, 15)"
K Neighbors Regressor,2.0271,6.7514,2.5876,-0.0595,0.7117,0.7529,0.52,"(8, 9, 15)"
Dummy Regressor,2.0928,6.5406,2.5493,-0.0226,0.7145,0.8321,0.511,"(8, 9, 15)"
Passive Aggressive Regressor,2.6225,11.4302,3.3366,-0.8094,0.8659,1.0355,0.522,"(8, 9, 15)"
Least Angle Regression,9000.6868,728333958.0619,12398.6946,-172737759.9466,5.472,4584.3263,0.522,"(8, 9, 15)"
Extra Trees Regressor,1.3134,3.1725,1.7752,0.4686,0.5095,0.4516,0.579,"(8, 9, 16)"
Light Gradient Boosting Machine,1.344,3.4281,1.8416,0.4189,0.5251,0.4609,0.555,"(8, 9, 16)"
Gradient Boosting Regressor,1.3997,3.5207,1.868,0.4088,0.5387,0.4815,0.629,"(8, 9, 16)"
Random Forest Regressor,1.4141,3.5934,1.8904,0.3965,0.5391,0.4855,0.755,"(8, 9, 16)"
Linear Regression,1.6431,4.4007,2.09,0.2641,0.5971,0.6533,0.518,"(8, 9, 16)"
Ridge Regression,1.6761,4.5581,2.1272,0.2407,0.6055,0.6283,0.516,"(8, 9, 16)"
Bayesian Ridge,1.7135,4.7139,2.1623,0.2163,0.6145,0.6339,0.512,"(8, 9, 16)"
Huber Regressor,1.738,5.0001,2.2284,0.1677,0.6151,0.6069,0.52,"(8, 9, 16)"
Orthogonal Matching Pursuit,1.8067,5.0815,2.2474,0.1548,0.6406,0.6863,0.517,"(8, 9, 16)"
Elastic Net,1.821,5.1745,2.2675,0.1429,0.6428,0.6897,0.52,"(8, 9, 16)"
AdaBoost Regressor,1.8351,4.8795,2.2036,0.1861,0.6657,0.7463,0.555,"(8, 9, 16)"
Lasso Regression,1.8414,5.2474,2.2828,0.1325,0.6495,0.6976,0.519,"(8, 9, 16)"
Lasso Least Angle Regression,1.8414,5.2474,2.2828,0.1325,0.6495,0.6976,0.503,"(8, 9, 16)"
Decision Tree Regressor,1.8665,7.6313,2.7546,-0.2907,0.75,0.6816,0.516,"(8, 9, 16)"
K Neighbors Regressor,1.93,5.9639,2.4357,0.0065,0.6778,0.7244,0.514,"(8, 9, 16)"
Dummy Regressor,2.0453,6.1738,2.4755,-0.0169,0.704,0.8048,0.518,"(8, 9, 16)"
Passive Aggressive Regressor,2.191,7.4515,2.7239,-0.2498,0.7538,0.7658,0.517,"(8, 9, 16)"
Least Angle Regression,3.665294571331497e+190,inf,inf,-inf,48.2769,1.8489822173342425e+190,0.518,"(8, 9, 16)"
Extra Trees Regressor,1.437,3.7431,1.928,0.4604,0.5367,0.497,0.587,"(8, 9, 17)"
Light Gradient Boosting Machine,1.4748,3.9492,1.979,0.4307,0.5518,0.5187,0.548,"(8, 9, 17)"
Random Forest Regressor,1.5318,4.126,2.0251,0.4076,0.563,0.529,0.752,"(8, 9, 17)"
Gradient Boosting Regressor,1.5565,4.2964,2.0641,0.3839,0.5676,0.551,0.63,"(8, 9, 17)"
Linear Regression,1.7641,5.1948,2.2711,0.2558,0.623,0.6636,0.513,"(8, 9, 17)"
Ridge Regression,1.8448,5.5158,2.3425,0.2091,0.6374,0.6816,0.512,"(8, 9, 17)"
Bayesian Ridge,1.8833,5.6513,2.371,0.1895,0.6442,0.6952,0.513,"(8, 9, 17)"
Huber Regressor,1.9546,6.2511,2.4939,0.1014,0.6576,0.6706,0.516,"(8, 9, 17)"
Decision Tree Regressor,1.9747,7.9712,2.8117,-0.144,0.757,0.7373,0.517,"(8, 9, 17)"
Orthogonal Matching Pursuit,1.9792,6.0195,2.448,0.1348,0.6678,0.7461,0.52,"(8, 9, 17)"
Elastic Net,2.0091,6.1506,2.4748,0.1183,0.6757,0.7513,0.515,"(8, 9, 17)"
AdaBoost Regressor,2.0192,5.8076,2.4046,0.169,0.7062,0.8241,0.556,"(8, 9, 17)"
Lasso Regression,2.0273,6.2168,2.4888,0.1092,0.6826,0.757,0.517,"(8, 9, 17)"
Lasso Least Angle Regression,2.0273,6.2168,2.4888,0.1092,0.6826,0.757,0.515,"(8, 9, 17)"
K Neighbors Regressor,2.1663,7.4086,2.714,-0.063,0.7236,0.8078,0.522,"(8, 9, 17)"
Dummy Regressor,2.1936,7.0475,2.6521,-0.0074,0.731,0.8404,0.515,"(8, 9, 17)"
Passive Aggressive Regressor,4.1593,36.869,5.1217,-4.2284,0.9763,1.7464,0.521,"(8, 9, 17)"
Least Angle Regression,2300459.9239,90595358254268.8,3017350.0878,-12470712470903.102,4.898,1263425.4127,0.521,"(8, 9, 17)"
Extra Trees Regressor,1.5118,3.9624,1.9834,0.4584,0.5654,0.4977,0.598,"(8, 10, 12)"
Light Gradient Boosting Machine,1.6241,4.5981,2.1336,0.3711,0.587,0.5537,0.557,"(8, 10, 12)"
Random Forest Regressor,1.6782,4.628,2.1448,0.3691,0.5986,0.5534,0.759,"(8, 10, 12)"
Gradient Boosting Regressor,1.7044,4.8961,2.2042,0.3341,0.6105,0.5745,0.624,"(8, 10, 12)"
Linear Regression,1.9123,5.9112,2.4252,0.1873,0.669,0.6791,0.511,"(8, 10, 12)"
Ridge Regression,1.9341,5.8708,2.4175,0.1988,0.6686,0.6855,0.517,"(8, 10, 12)"
Bayesian Ridge,1.971,5.9676,2.437,0.1861,0.6748,0.697,0.507,"(8, 10, 12)"
Huber Regressor,2.0471,6.793,2.5975,0.07,0.6968,0.6859,0.529,"(8, 10, 12)"
AdaBoost Regressor,2.0827,5.9136,2.4278,0.1947,0.7207,0.8185,0.557,"(8, 10, 12)"
Decision Tree Regressor,2.0878,8.8758,2.9659,-0.2302,0.7979,0.7631,0.517,"(8, 10, 12)"
Orthogonal Matching Pursuit,2.0972,6.5012,2.5433,0.113,0.7062,0.7545,0.496,"(8, 10, 12)"
Elastic Net,2.1325,6.6052,2.5652,0.1006,0.7146,0.7726,0.515,"(8, 10, 12)"
Lasso Regression,2.1571,6.6875,2.5817,0.09,0.722,0.7835,0.521,"(8, 10, 12)"
Lasso Least Angle Regression,2.1571,6.6875,2.5817,0.09,0.722,0.7835,0.509,"(8, 10, 12)"
K Neighbors Regressor,2.3183,8.2678,2.8714,-0.1275,0.7767,0.8228,0.524,"(8, 10, 12)"
Dummy Regressor,2.3467,7.5482,2.7393,-0.0158,0.767,0.8893,0.515,"(8, 10, 12)"
Passive Aggressive Regressor,4.2857,32.4111,5.3585,-3.5325,1.1031,2.1148,0.524,"(8, 10, 12)"
Least Angle Regression,582905.2289,10278638295932.352,1015819.8718,-1190782447702.5247,4.6648,242467.4356,0.505,"(8, 10, 12)"
Extra Trees Regressor,1.384,3.4548,1.8523,0.4942,0.5314,0.4905,0.606,"(8, 10, 13)"
Light Gradient Boosting Machine,1.4739,3.9028,1.9665,0.431,0.5525,0.5465,0.56,"(8, 10, 13)"
Random Forest Regressor,1.4975,3.9285,1.977,0.4256,0.5587,0.5332,0.781,"(8, 10, 13)"
Gradient Boosting Regressor,1.5574,4.2077,2.0477,0.3841,0.5733,0.554,0.631,"(8, 10, 13)"
Ridge Regression,1.7527,4.9921,2.2317,0.2677,0.6265,0.653,0.522,"(8, 10, 13)"
Linear Regression,1.7564,4.9843,2.2283,0.2683,0.6316,0.6877,0.509,"(8, 10, 13)"
Bayesian Ridge,1.7641,5.0493,2.2446,0.2594,0.6296,0.6538,0.527,"(8, 10, 13)"
Huber Regressor,1.8878,5.883,2.4231,0.1373,0.6611,0.6529,0.523,"(8, 10, 13)"
Decision Tree Regressor,1.9138,7.4862,2.7236,-0.1014,0.7355,0.7225,0.517,"(8, 10, 13)"
AdaBoost Regressor,1.9394,5.3231,2.3046,0.2202,0.6936,0.7931,0.558,"(8, 10, 13)"
Orthogonal Matching Pursuit,1.9671,5.9162,2.4306,0.1322,0.6804,0.7314,0.499,"(8, 10, 13)"
Elastic Net,1.9746,5.9104,2.4294,0.1331,0.6827,0.7328,0.514,"(8, 10, 13)"
Lasso Regression,1.9999,5.9954,2.4467,0.121,0.6905,0.7443,0.519,"(8, 10, 13)"
Lasso Least Angle Regression,1.9999,5.9954,2.4467,0.121,0.6905,0.7443,0.526,"(8, 10, 13)"
K Neighbors Regressor,2.1169,7.1479,2.6683,-0.0461,0.7363,0.7829,0.526,"(8, 10, 13)"
Dummy Regressor,2.2028,6.882,2.6219,-0.0083,0.7403,0.8538,0.523,"(8, 10, 13)"
Passive Aggressive Regressor,3.956,28.904,4.8943,-3.2241,1.042,1.9189,0.527,"(8, 10, 13)"
Least Angle Regression,53835315.857,4.249936647461682e+16,65205660.9938,-5704658285267502.0,5.9301,25482474.9493,0.509,"(8, 10, 13)"
Extra Trees Regressor,1.4088,3.6561,1.9078,0.466,0.5413,0.4585,0.588,"(8, 10, 15)"
Random Forest Regressor,1.5225,4.1438,2.0315,0.3965,0.567,0.5042,0.76,"(8, 10, 15)"
Light Gradient Boosting Machine,1.5364,4.2963,2.0671,0.3701,0.5708,0.5503,0.564,"(8, 10, 15)"
Gradient Boosting Regressor,1.5607,4.4683,2.1067,0.3459,0.5761,0.52,0.627,"(8, 10, 15)"
Linear Regression,1.7228,5.0257,2.2314,0.2668,0.6138,0.6286,0.519,"(8, 10, 15)"
Ridge Regression,1.7276,4.9035,2.2092,0.2859,0.6197,0.6112,0.519,"(8, 10, 15)"
Bayesian Ridge,1.7471,4.9867,2.2283,0.2752,0.6241,0.6138,0.519,"(8, 10, 15)"
Huber Regressor,1.8122,5.5365,2.3479,0.1934,0.6374,0.5982,0.526,"(8, 10, 15)"
Orthogonal Matching Pursuit,1.8824,5.5692,2.3541,0.1914,0.6576,0.667,0.517,"(8, 10, 15)"
Elastic Net,1.9255,5.7207,2.3871,0.1699,0.6692,0.6788,0.522,"(8, 10, 15)"
Decision Tree Regressor,1.94,7.9125,2.7962,-0.1607,0.7717,0.696,0.519,"(8, 10, 15)"
AdaBoost Regressor,1.9424,5.443,2.328,0.2113,0.6881,0.7378,0.564,"(8, 10, 15)"
Lasso Regression,1.9525,5.7947,2.4028,0.1596,0.6776,0.6902,0.513,"(8, 10, 15)"
Lasso Least Angle Regression,1.9525,5.7947,2.4028,0.1596,0.6776,0.6902,0.518,"(8, 10, 15)"
K Neighbors Regressor,2.1021,7.1831,2.6685,-0.0367,0.7295,0.7487,0.523,"(8, 10, 15)"
Dummy Regressor,2.2326,7.0532,2.6503,-0.017,0.7428,0.8387,0.519,"(8, 10, 15)"
Passive Aggressive Regressor,3.4513,20.0164,4.2885,-1.9025,0.9897,1.5912,0.515,"(8, 10, 15)"
Least Angle Regression,8.587966733493031e+186,inf,inf,-inf,51.1948,4.0299903442894825e+186,0.52,"(8, 10, 15)"
Extra Trees Regressor,1.3456,3.3705,1.8217,0.4942,0.5173,0.4347,0.648,"(8, 10, 16)"
Light Gradient Boosting Machine,1.4608,3.9788,1.9797,0.3995,0.5464,0.5007,0.554,"(8, 10, 16)"
Random Forest Regressor,1.4648,3.8558,1.9543,0.4191,0.5479,0.4782,0.801,"(8, 10, 16)"
Gradient Boosting Regressor,1.5063,4.022,1.9958,0.3904,0.557,0.5087,0.633,"(8, 10, 16)"
Linear Regression,1.7524,5.073,2.2397,0.2342,0.625,0.6646,0.519,"(8, 10, 16)"
Ridge Regression,1.7599,4.9881,2.2215,0.2494,0.625,0.6706,0.523,"(8, 10, 16)"
Bayesian Ridge,1.795,5.0934,2.2446,0.2341,0.6314,0.6797,0.509,"(8, 10, 16)"
Huber Regressor,1.8759,5.6552,2.3643,0.1492,0.6462,0.6743,0.524,"(8, 10, 16)"
AdaBoost Regressor,1.9206,5.2368,2.2823,0.2082,0.6839,0.7861,0.558,"(8, 10, 16)"
Orthogonal Matching Pursuit,1.9251,5.5698,2.3503,0.1612,0.6652,0.7278,0.514,"(8, 10, 16)"
Decision Tree Regressor,1.9493,7.6882,2.7556,-0.1989,0.7551,0.6958,0.533,"(8, 10, 16)"
Elastic Net,1.952,5.702,2.381,0.1388,0.6701,0.7249,0.518,"(8, 10, 16)"
Lasso Regression,1.9772,5.7837,2.3981,0.1266,0.6777,0.736,0.524,"(8, 10, 16)"
Lasso Least Angle Regression,1.9772,5.7837,2.3981,0.1266,0.6777,0.736,0.516,"(8, 10, 16)"
K Neighbors Regressor,2.169,7.4765,2.7207,-0.1202,0.7465,0.8088,0.519,"(8, 10, 16)"
Dummy Regressor,2.2068,6.7738,2.5942,-0.0188,0.7363,0.8655,0.515,"(8, 10, 16)"
Passive Aggressive Regressor,3.6818,24.7736,4.651,-2.8122,1.0503,1.7446,0.515,"(8, 10, 16)"
Least Angle Regression,6339.5571,471619056.671,8694.5033,-98894887.0965,4.6838,3170.9313,0.525,"(8, 10, 16)"
Extra Trees Regressor,1.4626,3.7904,1.9305,0.5004,0.5407,0.4719,0.593,"(8, 10, 17)"
Light Gradient Boosting Machine,1.5387,4.0965,2.0054,0.461,0.5594,0.5262,0.561,"(8, 10, 17)"
Random Forest Regressor,1.5916,4.3241,2.065,0.4305,0.571,0.5197,0.757,"(8, 10, 17)"
Gradient Boosting Regressor,1.6726,4.685,2.1481,0.38,0.5864,0.5555,0.641,"(8, 10, 17)"
Linear Regression,1.8654,5.6603,2.3579,0.2572,0.6436,0.6849,0.526,"(8, 10, 17)"
Ridge Regression,1.887,5.7361,2.3701,0.2514,0.6446,0.6843,0.523,"(8, 10, 17)"
Decision Tree Regressor,1.8972,7.726,2.771,-0.0403,0.7343,0.6529,0.514,"(8, 10, 17)"
Bayesian Ridge,1.9112,5.8227,2.3895,0.2402,0.6516,0.6878,0.516,"(8, 10, 17)"
Huber Regressor,2.0479,6.6754,2.5599,0.1272,0.6885,0.6892,0.51,"(8, 10, 17)"
Orthogonal Matching Pursuit,2.1188,6.6618,2.5593,0.1289,0.7049,0.759,0.52,"(8, 10, 17)"
AdaBoost Regressor,2.1364,6.2349,2.4882,0.1748,0.7258,0.8465,0.564,"(8, 10, 17)"
Elastic Net,2.1673,6.807,2.5903,0.1085,0.7151,0.7784,0.522,"(8, 10, 17)"
Lasso Regression,2.1944,6.8807,2.6057,0.0983,0.7223,0.7902,0.516,"(8, 10, 17)"
Lasso Least Angle Regression,2.1944,6.8807,2.6057,0.0983,0.7223,0.7902,0.503,"(8, 10, 17)"
K Neighbors Regressor,2.2742,7.9929,2.8076,-0.0479,0.7635,0.7949,0.517,"(8, 10, 17)"
Dummy Regressor,2.3785,7.6545,2.7576,-0.0107,0.766,0.8863,0.517,"(8, 10, 17)"
Passive Aggressive Regressor,4.3321,36.6132,5.3239,-4.0303,1.0622,1.9905,0.519,"(8, 10, 17)"
Least Angle Regression,514191.4717,4566870052708.4,681478.9071,-571182446202.9675,5.8397,236645.0806,0.52,"(8, 10, 17)"
Extra Trees Regressor,1.3719,3.609,1.8811,0.432,0.5374,0.4908,0.619,"(8, 12, 13)"
Light Gradient Boosting Machine,1.4668,4.1228,2.0106,0.3441,0.57,0.5449,0.559,"(8, 12, 13)"
Random Forest Regressor,1.49,4.009,1.9829,0.3709,0.5687,0.5349,0.765,"(8, 12, 13)"
Gradient Boosting Regressor,1.5706,4.4258,2.0848,0.3012,0.5846,0.5864,0.636,"(8, 12, 13)"
Decision Tree Regressor,1.703,6.7369,2.5792,-0.1088,0.7125,0.6551,0.517,"(8, 12, 13)"
Linear Regression,1.829,5.3418,2.3046,0.1384,0.6467,0.7119,0.52,"(8, 12, 13)"
Ridge Regression,1.8398,5.352,2.3068,0.1383,0.647,0.6918,0.517,"(8, 12, 13)"
Huber Regressor,1.8499,5.8712,2.4148,0.0588,0.652,0.6244,0.522,"(8, 12, 13)"
Bayesian Ridge,1.8772,5.5587,2.3497,0.1086,0.6598,0.7033,0.525,"(8, 12, 13)"
Orthogonal Matching Pursuit,1.9028,5.6725,2.3722,0.0932,0.6692,0.7158,0.511,"(8, 12, 13)"
Elastic Net,1.9154,5.711,2.3789,0.0896,0.6732,0.7228,0.533,"(8, 12, 13)"
Lasso Regression,1.9326,5.7791,2.3928,0.0794,0.6808,0.7301,0.521,"(8, 12, 13)"
Lasso Least Angle Regression,1.9326,5.7791,2.3928,0.0794,0.6808,0.7301,0.523,"(8, 12, 13)"
AdaBoost Regressor,1.9559,5.4726,2.3243,0.1267,0.7029,0.8345,0.573,"(8, 12, 13)"
K Neighbors Regressor,2.0239,6.8091,2.6019,-0.0982,0.7177,0.7597,0.517,"(8, 12, 13)"
Dummy Regressor,2.0712,6.3931,2.5123,-0.0095,0.7187,0.8125,0.518,"(8, 12, 13)"
Passive Aggressive Regressor,3.1784,16.6886,3.9511,-1.6956,0.9795,1.5904,0.519,"(8, 12, 13)"
Least Angle Regression,745890.2515,8979896950815.238,956736.4598,-1302661093449.292,4.5892,381774.4508,0.516,"(8, 12, 13)"
Extra Trees Regressor,1.3963,3.5997,1.889,0.4843,0.5184,0.4814,0.617,"(8, 12, 15)"
Light Gradient Boosting Machine,1.5151,4.1883,2.031,0.3991,0.546,0.5378,0.56,"(8, 12, 15)"
Random Forest Regressor,1.5282,4.2107,2.0421,0.3959,0.5532,0.532,0.762,"(8, 12, 15)"
Gradient Boosting Regressor,1.568,4.4173,2.0899,0.3681,0.5625,0.5411,0.63,"(8, 12, 15)"
Linear Regression,1.7304,5.1076,2.2541,0.2655,0.6094,0.633,0.517,"(8, 12, 15)"
Ridge Regression,1.757,5.1329,2.2608,0.2656,0.6094,0.6595,0.518,"(8, 12, 15)"
Huber Regressor,1.8018,5.5601,2.3523,0.206,0.6234,0.6292,0.52,"(8, 12, 15)"
Bayesian Ridge,1.8365,5.473,2.3333,0.2185,0.6354,0.6866,0.516,"(8, 12, 15)"
Orthogonal Matching Pursuit,1.8678,5.6177,2.3632,0.1979,0.6444,0.6995,0.513,"(8, 12, 15)"
Decision Tree Regressor,1.8774,7.4455,2.7159,-0.0663,0.7015,0.6809,0.511,"(8, 12, 15)"
Elastic Net,1.8908,5.7241,2.3868,0.1817,0.648,0.7059,0.518,"(8, 12, 15)"
Lasso Regression,1.9168,5.7938,2.402,0.1715,0.655,0.7175,0.514,"(8, 12, 15)"
Lasso Least Angle Regression,1.9168,5.7938,2.402,0.1715,0.655,0.7175,0.509,"(8, 12, 15)"
AdaBoost Regressor,1.9522,5.6038,2.3633,0.198,0.6766,0.7993,0.553,"(8, 12, 15)"
K Neighbors Regressor,2.14,7.2421,2.6858,-0.0379,0.7112,0.8216,0.518,"(8, 12, 15)"
Dummy Regressor,2.1715,7.0771,2.6589,-0.0118,0.722,0.8456,0.516,"(8, 12, 15)"
Passive Aggressive Regressor,3.8741,28.5062,4.7389,-3.1224,1.0031,1.8363,0.516,"(8, 12, 15)"
Least Angle Regression,38149.6251,30833435628.5063,76789.6059,-4363591372.965,4.5319,22279.4818,0.526,"(8, 12, 15)"
Extra Trees Regressor,1.3492,3.3703,1.8224,0.4961,0.5199,0.4637,0.609,"(8, 12, 16)"
Light Gradient Boosting Machine,1.4313,3.8182,1.9301,0.4372,0.5396,0.5059,0.544,"(8, 12, 16)"
Random Forest Regressor,1.502,4.0101,1.9927,0.4018,0.5581,0.5247,0.763,"(8, 12, 16)"
Gradient Boosting Regressor,1.5198,4.1268,2.018,0.3862,0.5596,0.5311,0.638,"(8, 12, 16)"
Linear Regression,1.8028,5.2291,2.2738,0.2239,0.6295,0.6935,0.518,"(8, 12, 16)"
Ridge Regression,1.8236,5.2616,2.287,0.211,0.6351,0.6783,0.531,"(8, 12, 16)"
Huber Regressor,1.8592,5.7171,2.3814,0.1433,0.6364,0.6485,0.53,"(8, 12, 16)"
Bayesian Ridge,1.8846,5.5127,2.3416,0.1718,0.6478,0.7032,0.518,"(8, 12, 16)"
Orthogonal Matching Pursuit,1.9288,5.7271,2.386,0.1401,0.6622,0.7259,0.531,"(8, 12, 16)"
Decision Tree Regressor,1.9348,7.7007,2.7521,-0.1918,0.7496,0.6975,0.518,"(8, 12, 16)"
AdaBoost Regressor,1.9557,5.4311,2.3254,0.1829,0.6894,0.8242,0.569,"(8, 12, 16)"
Elastic Net,1.9585,5.8262,2.4077,0.1251,0.6678,0.7345,0.516,"(8, 12, 16)"
Lasso Regression,1.9804,5.9033,2.4229,0.1152,0.6744,0.7449,0.52,"(8, 12, 16)"
Lasso Least Angle Regression,1.9804,5.9033,2.4229,0.1152,0.6744,0.7449,0.522,"(8, 12, 16)"
K Neighbors Regressor,2.084,6.9136,2.6171,-0.0263,0.7046,0.8234,0.52,"(8, 12, 16)"
Dummy Regressor,2.1742,6.8623,2.6096,-0.0207,0.7251,0.8543,0.519,"(8, 12, 16)"
Passive Aggressive Regressor,2.9615,14.2746,3.675,-1.3227,0.8613,1.0404,0.521,"(8, 12, 16)"
Least Angle Regression,468107.5506,11754024595149.154,1086235.1396,-2041733438990.8755,3.7466,320010.9424,0.522,"(8, 12, 16)"
Extra Trees Regressor,1.5274,4.0752,1.9988,0.4647,0.5648,0.5189,0.621,"(8, 12, 17)"
Light Gradient Boosting Machine,1.6359,4.6221,2.139,0.3851,0.5893,0.5589,0.547,"(8, 12, 17)"
Random Forest Regressor,1.6692,4.6663,2.1462,0.3867,0.6022,0.5753,0.774,"(8, 12, 17)"
Gradient Boosting Regressor,1.7201,5.0196,2.2294,0.3342,0.6137,0.5908,0.633,"(8, 12, 17)"
Linear Regression,1.9115,5.9759,2.4283,0.208,0.6719,0.6782,0.52,"(8, 12, 17)"
Ridge Regression,1.9308,5.8681,2.4082,0.2243,0.6658,0.6757,0.516,"(8, 12, 17)"
Huber Regressor,1.983,6.3953,2.5172,0.1539,0.68,0.6402,0.525,"(8, 12, 17)"
