Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),test_set
Lasso Least Angle Regression,3.647,17.6878,4.2034,-0.02,0.3367,0.351,0.462,"('subject_16', 'subject_18', 'subject_9')"
Dummy Regressor,3.6488,17.6916,4.2038,-0.0201,0.3366,0.351,0.429,"('subject_16', 'subject_18', 'subject_9')"
Bayesian Ridge,3.6576,17.8081,4.2177,-0.0269,0.3377,0.352,0.454,"('subject_16', 'subject_18', 'subject_9')"
Huber Regressor,3.6734,18.0013,4.2412,-0.0399,0.3403,0.3567,0.483,"('subject_16', 'subject_18', 'subject_9')"
K Neighbors Regressor,3.7826,19.9903,4.4682,-0.1536,0.3531,0.3621,0.483,"('subject_16', 'subject_18', 'subject_9')"
Decision Tree Regressor,4.6321,33.1264,5.7506,-0.9147,0.4438,0.4071,0.443,"('subject_16', 'subject_18', 'subject_9')"
Passive Aggressive Regressor,4.6603,31.033,5.5157,-0.7966,0.4199,0.3773,0.517,"('subject_16', 'subject_18', 'subject_9')"
Random Forest Regressor,3.435,16.0841,4.008,0.065,0.3096,0.3116,0.602,"('subject_16', 'subject_19', 'subject_2')"
Gradient Boosting Regressor,3.4637,16.0585,4.0029,0.0693,0.3122,0.3187,0.461,"('subject_16', 'subject_19', 'subject_2')"
Light Gradient Boosting Machine,3.4909,17.51,4.1797,-0.0166,0.3204,0.3151,0.444,"('subject_16', 'subject_19', 'subject_2')"
Extra Trees Regressor,3.5094,17.0896,4.129,0.0078,0.3188,0.3201,0.488,"('subject_16', 'subject_19', 'subject_2')"
AdaBoost Regressor,3.5348,16.4702,4.0556,0.0441,0.3208,0.3309,0.422,"('subject_16', 'subject_19', 'subject_2')"
Least Angle Regression,3.538,17.0315,4.1241,0.0118,0.3278,0.3361,0.483,"('subject_16', 'subject_19', 'subject_2')"
Linear Regression,3.5384,17.0169,4.1224,0.0126,0.3276,0.3362,0.519,"('subject_16', 'subject_19', 'subject_2')"
Ridge Regression,3.5398,17.0123,4.1218,0.0129,0.3278,0.3365,0.418,"('subject_16', 'subject_19', 'subject_2')"
Orthogonal Matching Pursuit,3.57,17.3348,4.1604,-0.0053,0.3324,0.3424,0.45,"('subject_16', 'subject_19', 'subject_2')"
Elastic Net,3.58,17.3675,4.1644,-0.0072,0.3326,0.3431,0.46,"('subject_16', 'subject_19', 'subject_2')"
Bayesian Ridge,3.5855,17.4174,4.1703,-0.01,0.3329,0.3435,0.458,"('subject_16', 'subject_19', 'subject_2')"
Lasso Regression,3.5897,17.4137,4.1698,-0.0097,0.3329,0.3439,0.491,"('subject_16', 'subject_19', 'subject_2')"
Lasso Least Angle Regression,3.5897,17.4137,4.1698,-0.0097,0.3329,0.3439,0.451,"('subject_16', 'subject_19', 'subject_2')"
Huber Regressor,3.5977,17.6632,4.1992,-0.0245,0.3359,0.3483,0.47,"('subject_16', 'subject_19', 'subject_2')"
Dummy Regressor,3.6009,17.4912,4.1791,-0.0143,0.3334,0.3446,0.43,"('subject_16', 'subject_19', 'subject_2')"
K Neighbors Regressor,3.6832,19.286,4.3849,-0.1173,0.3456,0.3497,0.478,"('subject_16', 'subject_19', 'subject_2')"
Decision Tree Regressor,4.4287,30.3802,5.5088,-0.7775,0.4243,0.3869,0.495,"('subject_16', 'subject_19', 'subject_2')"
Passive Aggressive Regressor,5.2502,42.2554,6.3902,-1.4618,0.4681,0.5634,0.431,"('subject_16', 'subject_19', 'subject_2')"
Gradient Boosting Regressor,3.3954,15.7458,3.9622,0.087,0.3101,0.3143,0.447,"('subject_16', 'subject_19', 'subject_20')"
Random Forest Regressor,3.4,16.139,4.0099,0.064,0.3114,0.3129,0.55,"('subject_16', 'subject_19', 'subject_20')"
AdaBoost Regressor,3.457,15.8961,3.9842,0.0766,0.3167,0.3256,0.434,"('subject_16', 'subject_19', 'subject_20')"
Light Gradient Boosting Machine,3.4968,17.8117,4.2125,-0.0334,0.3249,0.3185,0.42,"('subject_16', 'subject_19', 'subject_20')"
Extra Trees Regressor,3.5409,17.3287,4.1586,-0.0069,0.3225,0.3253,0.497,"('subject_16', 'subject_19', 'subject_20')"
Linear Regression,3.5613,17.1609,4.1404,0.0029,0.331,0.3413,0.447,"('subject_16', 'subject_19', 'subject_20')"
Ridge Regression,3.5625,17.1575,4.14,0.0031,0.3311,0.3416,0.43,"('subject_16', 'subject_19', 'subject_20')"
Orthogonal Matching Pursuit,3.5831,17.3951,4.1685,-0.0104,0.3349,0.3463,0.488,"('subject_16', 'subject_19', 'subject_20')"
Elastic Net,3.5894,17.3993,4.1692,-0.0108,0.3348,0.3466,0.431,"('subject_16', 'subject_19', 'subject_20')"
Lasso Least Angle Regression,3.5938,17.4144,4.171,-0.0117,0.3348,0.3468,0.437,"('subject_16', 'subject_19', 'subject_20')"
Lasso Regression,3.5938,17.4144,4.171,-0.0117,0.3348,0.3468,0.403,"('subject_16', 'subject_19', 'subject_20')"
Dummy Regressor,3.5944,17.4115,4.1707,-0.0116,0.3348,0.3468,0.501,"('subject_16', 'subject_19', 'subject_20')"
Bayesian Ridge,3.5947,17.4151,4.1711,-0.0118,0.3348,0.3468,0.412,"('subject_16', 'subject_19', 'subject_20')"
Huber Regressor,3.6094,17.611,4.1947,-0.0235,0.338,0.3523,0.435,"('subject_16', 'subject_19', 'subject_20')"
K Neighbors Regressor,3.6435,18.8557,4.3376,-0.0953,0.3446,0.3509,0.411,"('subject_16', 'subject_19', 'subject_20')"
Least Angle Regression,3.6889,18.799,4.3149,-0.094,0.3416,0.3546,0.447,"('subject_16', 'subject_19', 'subject_20')"
Decision Tree Regressor,4.3722,30.1452,5.4875,-0.7579,0.4229,0.3806,0.402,"('subject_16', 'subject_19', 'subject_20')"
Passive Aggressive Regressor,5.2916,43.1118,6.459,-1.5445,0.5295,0.5389,0.443,"('subject_16', 'subject_19', 'subject_20')"
Gradient Boosting Regressor,3.4381,15.9539,3.992,0.0919,0.3129,0.3189,0.568,"('subject_16', 'subject_19', 'subject_21')"
Random Forest Regressor,3.4526,16.3525,4.0422,0.0672,0.3138,0.3169,0.617,"('subject_16', 'subject_19', 'subject_21')"
Light Gradient Boosting Machine,3.453,17.0754,4.1297,0.026,0.3195,0.3136,0.621,"('subject_16', 'subject_19', 'subject_21')"
Extra Trees Regressor,3.4635,16.5091,4.0619,0.0571,0.3148,0.3166,0.552,"('subject_16', 'subject_19', 'subject_21')"
AdaBoost Regressor,3.5254,16.3667,4.0433,0.0691,0.3206,0.3308,0.457,"('subject_16', 'subject_19', 'subject_21')"
Linear Regression,3.5758,17.1253,4.1357,0.0264,0.3302,0.3417,0.451,"('subject_16', 'subject_19', 'subject_21')"
Ridge Regression,3.5764,17.1224,4.1354,0.0266,0.3303,0.3419,0.407,"('subject_16', 'subject_19', 'subject_21')"
Orthogonal Matching Pursuit,3.6395,17.6587,4.1988,-0.003,0.3374,0.3519,0.422,"('subject_16', 'subject_19', 'subject_21')"
Elastic Net,3.6409,17.6418,4.1968,-0.0019,0.3372,0.3518,0.455,"('subject_16', 'subject_19', 'subject_21')"
Lasso Least Angle Regression,3.644,17.68,4.2014,-0.0041,0.3374,0.352,0.486,"('subject_16', 'subject_19', 'subject_21')"
Lasso Regression,3.644,17.68,4.2014,-0.0041,0.3374,0.352,0.454,"('subject_16', 'subject_19', 'subject_21')"
Huber Regressor,3.6455,17.802,4.2155,-0.0109,0.3397,0.3565,0.396,"('subject_16', 'subject_19', 'subject_21')"
Dummy Regressor,3.6456,17.7001,4.2038,-0.0053,0.3375,0.3521,0.514,"('subject_16', 'subject_19', 'subject_21')"
Bayesian Ridge,3.6512,17.7146,4.2054,-0.006,0.3377,0.3525,0.439,"('subject_16', 'subject_19', 'subject_21')"
K Neighbors Regressor,3.7083,19.3557,4.3967,-0.1019,0.3489,0.3592,0.409,"('subject_16', 'subject_19', 'subject_21')"
Least Angle Regression,3.9854,23.2437,4.6809,-0.3231,0.3737,0.3769,0.441,"('subject_16', 'subject_19', 'subject_21')"
Decision Tree Regressor,4.3572,30.2102,5.487,-0.7292,0.4214,0.3855,0.463,"('subject_16', 'subject_19', 'subject_21')"
Passive Aggressive Regressor,4.4662,30.6536,5.4473,-0.7385,0.4266,0.4473,0.406,"('subject_16', 'subject_19', 'subject_21')"
Random Forest Regressor,3.3761,15.6103,3.9493,0.0741,0.3069,0.3089,0.598,"('subject_16', 'subject_19', 'subject_22')"
Gradient Boosting Regressor,3.4175,15.6668,3.9569,0.0708,0.3108,0.3169,0.632,"('subject_16', 'subject_19', 'subject_22')"
AdaBoost Regressor,3.4585,15.9174,3.9892,0.0564,0.3172,0.3249,0.513,"('subject_16', 'subject_19', 'subject_22')"
Light Gradient Boosting Machine,3.4594,17.1654,4.1392,-0.0173,0.319,0.314,0.525,"('subject_16', 'subject_19', 'subject_22')"
Extra Trees Regressor,3.5106,16.9799,4.1175,-0.0059,0.3199,0.3231,0.588,"('subject_16', 'subject_19', 'subject_22')"
Linear Regression,3.5553,16.9385,4.1139,-0.0033,0.3291,0.3403,0.529,"('subject_16', 'subject_19', 'subject_22')"
Ridge Regression,3.5556,16.9349,4.1135,-0.0031,0.3292,0.3405,0.441,"('subject_16', 'subject_19', 'subject_22')"
Elastic Net,3.5575,17.0236,4.1248,-0.0086,0.3314,0.3427,0.439,"('subject_16', 'subject_19', 'subject_22')"
Orthogonal Matching Pursuit,3.5577,17.0672,4.1299,-0.011,0.3319,0.343,0.512,"('subject_16', 'subject_19', 'subject_22')"
Bayesian Ridge,3.5614,17.0391,4.1267,-0.0095,0.3315,0.3429,0.521,"('subject_16', 'subject_19', 'subject_22')"
Lasso Regression,3.5635,17.0903,4.133,-0.0126,0.332,0.3433,0.458,"('subject_16', 'subject_19', 'subject_22')"
Lasso Least Angle Regression,3.5635,17.0903,4.133,-0.0126,0.332,0.3433,0.529,"('subject_16', 'subject_19', 'subject_22')"
Dummy Regressor,3.5698,17.1534,4.1408,-0.0164,0.3324,0.3437,0.454,"('subject_16', 'subject_19', 'subject_22')"
Huber Regressor,3.5787,17.2858,4.1557,-0.0239,0.3349,0.3491,0.465,"('subject_16', 'subject_19', 'subject_22')"
Least Angle Regression,3.6875,19.263,4.3447,-0.1482,0.3524,0.3521,0.417,"('subject_16', 'subject_19', 'subject_22')"
K Neighbors Regressor,3.7041,19.2493,4.3796,-0.1388,0.347,0.3557,0.437,"('subject_16', 'subject_19', 'subject_22')"
Decision Tree Regressor,4.3071,29.3802,5.4087,-0.7394,0.4175,0.383,0.484,"('subject_16', 'subject_19', 'subject_22')"
Passive Aggressive Regressor,4.9367,36.2771,5.9345,-1.165,0.4656,0.4166,0.52,"('subject_16', 'subject_19', 'subject_22')"
Random Forest Regressor,3.3936,15.7987,3.9711,0.0507,0.3101,0.3131,0.639,"('subject_16', 'subject_19', 'subject_24')"
Gradient Boosting Regressor,3.4011,15.6101,3.9471,0.0629,0.3109,0.3171,0.552,"('subject_16', 'subject_19', 'subject_24')"
Extra Trees Regressor,3.4574,16.8295,4.1017,-0.0153,0.3198,0.3192,0.598,"('subject_16', 'subject_19', 'subject_24')"
AdaBoost Regressor,3.4687,15.8937,3.9823,0.0469,0.3172,0.3273,0.406,"('subject_16', 'subject_19', 'subject_24')"
Light Gradient Boosting Machine,3.4703,17.2317,4.1473,-0.0349,0.3212,0.317,0.453,"('subject_16', 'subject_19', 'subject_24')"
Linear Regression,3.5136,16.5906,4.07,0.0042,0.3253,0.3359,0.443,"('subject_16', 'subject_19', 'subject_24')"
Ridge Regression,3.5151,16.5912,4.07,0.0043,0.3254,0.3363,0.482,"('subject_16', 'subject_19', 'subject_24')"
Least Angle Regression,3.519,16.657,4.0782,-0.0001,0.3257,0.3364,0.416,"('subject_16', 'subject_19', 'subject_24')"
Elastic Net,3.5357,16.8415,4.0996,-0.0092,0.3292,0.3407,0.454,"('subject_16', 'subject_19', 'subject_24')"
Lasso Least Angle Regression,3.5417,16.8738,4.1034,-0.011,0.3294,0.341,0.406,"('subject_16', 'subject_19', 'subject_24')"
Lasso Regression,3.5417,16.8738,4.1034,-0.011,0.3294,0.341,0.443,"('subject_16', 'subject_19', 'subject_24')"
Bayesian Ridge,3.5418,16.8655,4.1026,-0.0107,0.3294,0.341,0.443,"('subject_16', 'subject_19', 'subject_24')"
Huber Regressor,3.544,17.0376,4.1246,-0.0228,0.3322,0.3453,0.435,"('subject_16', 'subject_19', 'subject_24')"
Dummy Regressor,3.5442,16.8853,4.1047,-0.0116,0.3294,0.341,0.456,"('subject_16', 'subject_19', 'subject_24')"
Orthogonal Matching Pursuit,3.5444,16.9086,4.1078,-0.0133,0.3297,0.3413,0.437,"('subject_16', 'subject_19', 'subject_24')"
K Neighbors Regressor,3.656,18.756,4.3272,-0.1267,0.3438,0.354,0.433,"('subject_16', 'subject_19', 'subject_24')"
Decision Tree Regressor,4.3389,29.7024,5.4436,-0.7868,0.4237,0.3866,0.431,"('subject_16', 'subject_19', 'subject_24')"
Passive Aggressive Regressor,4.3742,29.601,5.2812,-0.7529,0.4366,0.4222,0.417,"('subject_16', 'subject_19', 'subject_24')"
Gradient Boosting Regressor,3.4264,15.9647,3.9932,0.0616,0.3149,0.3198,0.573,"('subject_16', 'subject_19', 'subject_25')"
Random Forest Regressor,3.4406,16.3205,4.0375,0.041,0.3151,0.3172,0.52,"('subject_16', 'subject_19', 'subject_25')"
AdaBoost Regressor,3.4912,16.0632,4.0064,0.0561,0.3189,0.3289,0.399,"('subject_16', 'subject_19', 'subject_25')"
Linear Regression,3.5407,16.8592,4.1038,0.0105,0.3286,0.3393,0.437,"('subject_16', 'subject_19', 'subject_25')"
Ridge Regression,3.5412,16.8569,4.1036,0.0106,0.3287,0.3396,0.506,"('subject_16', 'subject_19', 'subject_25')"
Light Gradient Boosting Machine,3.556,18.0955,4.2491,-0.063,0.3278,0.3232,0.52,"('subject_16', 'subject_19', 'subject_25')"
Extra Trees Regressor,3.5645,17.5104,4.1825,-0.0291,0.3256,0.3281,0.513,"('subject_16', 'subject_19', 'subject_25')"
Elastic Net,3.5659,17.0852,4.1322,-0.0029,0.3321,0.344,0.514,"('subject_16', 'subject_19', 'subject_25')"
Bayesian Ridge,3.5671,17.0785,4.1313,-0.0025,0.332,0.3439,0.479,"('subject_16', 'subject_19', 'subject_25')"
Lasso Least Angle Regression,3.5709,17.1047,4.1344,-0.004,0.3323,0.3445,0.463,"('subject_16', 'subject_19', 'subject_25')"
Lasso Regression,3.5709,17.1047,4.1344,-0.004,0.3323,0.3445,0.439,"('subject_16', 'subject_19', 'subject_25')"
Huber Regressor,3.5738,17.2699,4.1541,-0.0139,0.3345,0.3477,0.442,"('subject_16', 'subject_19', 'subject_25')"
Dummy Regressor,3.5746,17.1339,4.1381,-0.0058,0.3325,0.3447,0.511,"('subject_16', 'subject_19', 'subject_25')"
Orthogonal Matching Pursuit,3.5766,17.128,4.1372,-0.0054,0.3325,0.3449,0.461,"('subject_16', 'subject_19', 'subject_25')"
K Neighbors Regressor,3.7283,19.3903,4.3987,-0.1375,0.3485,0.3579,0.439,"('subject_16', 'subject_19', 'subject_25')"
Least Angle Regression,3.7377,19.3176,4.3656,-0.135,0.3486,0.3568,0.518,"('subject_16', 'subject_19', 'subject_25')"
Decision Tree Regressor,4.469,30.577,5.5259,-0.8004,0.4295,0.3975,0.466,"('subject_16', 'subject_19', 'subject_25')"
Passive Aggressive Regressor,4.9849,36.6203,5.9125,-1.1674,0.4821,0.3898,0.461,"('subject_16', 'subject_19', 'subject_25')"
Random Forest Regressor,3.5362,16.9748,4.1187,0.0497,0.3226,0.3294,0.568,"('subject_16', 'subject_19', 'subject_26')"
Gradient Boosting Regressor,3.5591,17.2298,4.1473,0.0359,0.3267,0.334,0.589,"('subject_16', 'subject_19', 'subject_26')"
AdaBoost Regressor,3.6059,17.1388,4.1383,0.0418,0.3302,0.3436,0.518,"('subject_16', 'subject_19', 'subject_26')"
Orthogonal Matching Pursuit,3.6586,17.943,4.2343,-0.0027,0.3404,0.3547,0.399,"('subject_16', 'subject_19', 'subject_26')"
Elastic Net,3.6587,17.8864,4.2276,0.0006,0.34,0.3548,0.438,"('subject_16', 'subject_19', 'subject_26')"
Ridge Regression,3.6625,17.8565,4.2245,0.0014,0.3388,0.3535,0.44,"('subject_16', 'subject_19', 'subject_26')"
Linear Regression,3.6632,17.861,4.225,0.0012,0.3387,0.3534,0.42,"('subject_16', 'subject_19', 'subject_26')"
Lasso Regression,3.6633,17.9092,4.2302,-0.0005,0.3401,0.3552,0.463,"('subject_16', 'subject_19', 'subject_26')"
Lasso Least Angle Regression,3.6633,17.9092,4.2302,-0.0005,0.3401,0.3552,0.433,"('subject_16', 'subject_19', 'subject_26')"
Bayesian Ridge,3.6672,17.9527,4.2353,-0.0031,0.3404,0.3555,0.429,"('subject_16', 'subject_19', 'subject_26')"
Least Angle Regression,3.6673,17.9015,4.2297,-0.0011,0.339,0.3539,0.475,"('subject_16', 'subject_19', 'subject_26')"
Huber Regressor,3.6697,18.089,4.2512,-0.0115,0.3426,0.3592,0.489,"('subject_16', 'subject_19', 'subject_26')"
Dummy Regressor,3.6747,17.989,4.2394,-0.0048,0.3407,0.3561,0.429,"('subject_16', 'subject_19', 'subject_26')"
Light Gradient Boosting Machine,3.6949,19.0636,4.3624,-0.0689,0.3382,0.3404,0.492,"('subject_16', 'subject_19', 'subject_26')"
Extra Trees Regressor,3.723,19.0577,4.3633,-0.0669,0.3412,0.3472,0.543,"('subject_16', 'subject_19', 'subject_26')"
K Neighbors Regressor,3.7958,19.9797,4.4664,-0.1175,0.3551,0.3664,0.405,"('subject_16', 'subject_19', 'subject_26')"
Decision Tree Regressor,4.4412,31.2731,5.588,-0.7524,0.4352,0.3992,0.488,"('subject_16', 'subject_19', 'subject_26')"
Passive Aggressive Regressor,4.5751,31.3254,5.4124,-0.7643,0.4112,0.4736,0.422,"('subject_16', 'subject_19', 'subject_26')"
Random Forest Regressor,3.4325,16.1221,4.0134,0.0572,0.313,0.3165,0.618,"('subject_16', 'subject_19', 'subject_27')"
Gradient Boosting Regressor,3.4747,16.2165,4.0246,0.0526,0.3159,0.3225,0.511,"('subject_16', 'subject_19', 'subject_27')"
Extra Trees Regressor,3.4968,16.9988,4.1196,0.006,0.3197,0.3209,0.628,"('subject_16', 'subject_19', 'subject_27')"
Light Gradient Boosting Machine,3.5053,17.4705,4.1763,-0.0214,0.3225,0.319,0.572,"('subject_16', 'subject_19', 'subject_27')"
Least Angle Regression,3.5203,16.8019,4.0967,0.0188,0.327,0.3358,0.397,"('subject_16', 'subject_19', 'subject_27')"
Linear Regression,3.5215,16.7768,4.0935,0.0204,0.327,0.3363,0.49,"('subject_16', 'subject_19', 'subject_27')"
Ridge Regression,3.5222,16.7742,4.0932,0.0206,0.3271,0.3365,0.405,"('subject_16', 'subject_19', 'subject_27')"
AdaBoost Regressor,3.5271,16.4016,4.0479,0.0419,0.3215,0.3315,0.51,"('subject_16', 'subject_19', 'subject_27')"
Elastic Net,3.5478,17.0462,4.1266,0.0046,0.3315,0.3419,0.436,"('subject_16', 'subject_19', 'subject_27')"
Bayesian Ridge,3.5488,17.0457,4.1266,0.0046,0.3315,0.3419,0.411,"('subject_16', 'subject_19', 'subject_27')"
Huber Regressor,3.554,17.1897,4.1436,-0.0036,0.3332,0.345,0.43,"('subject_16', 'subject_19', 'subject_27')"
Orthogonal Matching Pursuit,3.5556,17.1279,4.1365,-0.0002,0.3322,0.3427,0.429,"('subject_16', 'subject_19', 'subject_27')"
Lasso Regression,3.5559,17.0723,4.1299,0.003,0.3317,0.3425,0.425,"('subject_16', 'subject_19', 'subject_27')"
Lasso Least Angle Regression,3.5559,17.0723,4.1299,0.003,0.3317,0.3425,0.504,"('subject_16', 'subject_19', 'subject_27')"
Dummy Regressor,3.5724,17.1648,4.1413,-0.0026,0.3322,0.3436,0.516,"('subject_16', 'subject_19', 'subject_27')"
K Neighbors Regressor,3.6943,19.193,4.3772,-0.123,0.3464,0.354,0.403,"('subject_16', 'subject_19', 'subject_27')"
Decision Tree Regressor,4.377,29.5675,5.4259,-0.7301,0.4223,0.389,0.456,"('subject_16', 'subject_19', 'subject_27')"
Passive Aggressive Regressor,4.7183,33.8406,5.6921,-0.9778,0.4575,0.4007,0.405,"('subject_16', 'subject_19', 'subject_27')"
Random Forest Regressor,3.4899,16.6612,4.0756,0.058,0.3172,0.3218,0.633,"('subject_16', 'subject_19', 'subject_28')"
Gradient Boosting Regressor,3.518,16.4811,4.0511,0.0712,0.3168,0.3258,0.472,"('subject_16', 'subject_19', 'subject_28')"
AdaBoost Regressor,3.5475,16.4724,4.0543,0.0708,0.322,0.3348,0.48,"('subject_16', 'subject_19', 'subject_28')"
Light Gradient Boosting Machine,3.5923,18.2079,4.26,-0.0305,0.3275,0.326,0.423,"('subject_16', 'subject_19', 'subject_28')"
Extra Trees Regressor,3.6134,17.8333,4.2186,-0.0085,0.327,0.3313,0.608,"('subject_16', 'subject_19', 'subject_28')"
Least Angle Regression,3.6253,17.4812,4.1763,0.0139,0.3318,0.3448,0.491,"('subject_16', 'subject_19', 'subject_28')"
Linear Regression,3.6257,17.4247,4.1696,0.0173,0.3318,0.3454,0.423,"('subject_16', 'subject_19', 'subject_28')"
Ridge Regression,3.6274,17.4216,4.1692,0.0175,0.3319,0.3458,0.458,"('subject_16', 'subject_19', 'subject_28')"
Dummy Regressor,3.6616,17.8877,4.2238,-0.0073,0.3384,0.3533,0.424,"('subject_16', 'subject_19', 'subject_28')"
Lasso Least Angle Regression,3.6655,17.9204,4.2278,-0.0092,0.3387,0.3537,0.487,"('subject_16', 'subject_19', 'subject_28')"
Lasso Regression,3.6655,17.9204,4.2278,-0.0092,0.3387,0.3537,0.483,"('subject_16', 'subject_19', 'subject_28')"
Elastic Net,3.6659,17.8986,4.2254,-0.0082,0.3386,0.3538,0.48,"('subject_16', 'subject_19', 'subject_28')"
Bayesian Ridge,3.6689,17.9376,4.2299,-0.0103,0.3388,0.354,0.49,"('subject_16', 'subject_19', 'subject_28')"
Huber Regressor,3.6717,18.0089,4.2385,-0.0156,0.3394,0.3561,0.498,"('subject_16', 'subject_19', 'subject_28')"
Orthogonal Matching Pursuit,3.6727,17.9733,4.234,-0.0123,0.3392,0.3545,0.526,"('subject_16', 'subject_19', 'subject_28')"
K Neighbors Regressor,3.8276,20.4499,4.5119,-0.1525,0.3564,0.3692,0.459,"('subject_16', 'subject_19', 'subject_28')"
Decision Tree Regressor,4.3891,30.9538,5.555,-0.7631,0.4291,0.3906,0.541,"('subject_16', 'subject_19', 'subject_28')"
Passive Aggressive Regressor,4.9806,39.3592,6.2283,-1.2075,0.4754,0.5433,0.533,"('subject_16', 'subject_19', 'subject_28')"
Random Forest Regressor,3.3035,15.2939,3.9081,0.0892,0.3049,0.3037,0.598,"('subject_16', 'subject_19', 'subject_29')"
Extra Trees Regressor,3.3731,15.9219,3.9887,0.0507,0.3101,0.3099,0.631,"('subject_16', 'subject_19', 'subject_29')"
Gradient Boosting Regressor,3.4042,15.7921,3.9725,0.0594,0.3126,0.3168,0.475,"('subject_16', 'subject_19', 'subject_29')"
Light Gradient Boosting Machine,3.4397,17.0018,4.1204,-0.0144,0.3193,0.3149,0.46,"('subject_16', 'subject_19', 'subject_29')"
AdaBoost Regressor,3.4504,15.7734,3.9699,0.0611,0.3159,0.3245,0.454,"('subject_16', 'subject_19', 'subject_29')"
Linear Regression,3.4962,16.4867,4.0589,0.0188,0.3248,0.3339,0.47,"('subject_16', 'subject_19', 'subject_29')"
Ridge Regression,3.4974,16.485,4.0587,0.0189,0.3249,0.3342,0.427,"('subject_16', 'subject_19', 'subject_29')"
Huber Regressor,3.5357,16.8693,4.1057,-0.004,0.3306,0.3428,0.467,"('subject_16', 'subject_19', 'subject_29')"
Elastic Net,3.542,16.8983,4.1093,-0.0053,0.3305,0.3414,0.443,"('subject_16', 'subject_19', 'subject_29')"
Bayesian Ridge,3.5453,16.9147,4.1113,-0.0063,0.3306,0.3417,0.465,"('subject_16', 'subject_19', 'subject_29')"
Dummy Regressor,3.5477,16.9187,4.1118,-0.0066,0.3306,0.3418,0.45,"('subject_16', 'subject_19', 'subject_29')"
Orthogonal Matching Pursuit,3.5479,16.9138,4.1112,-0.0063,0.3306,0.3419,0.47,"('subject_16', 'subject_19', 'subject_29')"
Lasso Regression,3.5489,16.9269,4.1128,-0.007,0.3307,0.3419,0.439,"('subject_16', 'subject_19', 'subject_29')"
Lasso Least Angle Regression,3.5489,16.9269,4.1128,-0.007,0.3307,0.3419,0.497,"('subject_16', 'subject_19', 'subject_29')"
K Neighbors Regressor,3.607,18.3236,4.2753,-0.0897,0.3385,0.3445,0.503,"('subject_16', 'subject_19', 'subject_29')"
